movie_id,genre_id,genre_name
297761,"[28, 53]","[u'Action', u'Thriller']"
209112,[28],[u'Action']
271110,[28],[u'Action']
329865,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
284052,[28],[u'Action']
246655,[28],[u'Action']
269149,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
259316,[28],[u'Action']
330459,"[18, 28]","[u'Drama', u'Action']"
127380,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
328111,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
313369,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
278927,"[18, 28]","[u'Drama', u'Action']"
291805,"[28, 35, 53]","[u'Action', u'Comedy', u'Thriller']"
277834,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
47933,[28],[u'Action']
188927,"[28, 53]","[u'Action', u'Thriller']"
258489,[28],[u'Action']
324668,"[28, 53]","[u'Action', u'Thriller']"
283366,"[18, 28]","[u'Drama', u'Action']"
333371,[28],[u'Action']
324786,[18],[u'Drama']
333484,"[18, 28]","[u'Drama', u'Action']"
68735,[28],[u'Action']
290250,"[28, 35, 53]","[u'Action', u'Comedy', u'Thriller']"
121856,[28],[u'Action']
43074,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
207932,[53],[u'Thriller']
296096,"[18, 10749]","[u'Drama', u'Romance']"
299687,[28],[u'Action']
302946,"[18, 53]","[u'Drama', u'Thriller']"
343611,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
262504,[28],[u'Action']
363676,[18],[u'Drama']
259693,[53],[u'Thriller']
267860,"[28, 53]","[u'Action', u'Thriller']"
302699,"[28, 35]","[u'Action', u'Comedy']"
140300,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
300669,[53],[u'Thriller']
346672,"[28, 53]","[u'Action', u'Thriller']"
328387,"[28, 53]","[u'Action', u'Thriller']"
340666,"[18, 53]","[u'Drama', u'Thriller']"
332567,"[18, 53]","[u'Drama', u'Thriller']"
290595,"[18, 28]","[u'Drama', u'Action']"
241259,[28],[u'Action']
325133,[35],[u'Comedy']
291870,"[28, 35]","[u'Action', u'Comedy']"
381284,[18],[u'Drama']
296524,"[18, 28]","[u'Drama', u'Action']"
259694,"[35, 10749]","[u'Comedy', u'Romance']"
278924,"[28, 53]","[u'Action', u'Thriller']"
376867,[18],[u'Drama']
205584,[28],[u'Action']
316727,"[28, 53]","[u'Action', u'Thriller']"
334541,[18],[u'Drama']
376659,[35],[u'Comedy']
338766,"[18, 53]","[u'Drama', u'Thriller']"
302401,"[18, 53]","[u'Drama', u'Thriller']"
303858,[53],[u'Thriller']
321258,[53],[u'Thriller']
334543,[18],[u'Drama']
153518,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
300671,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
345920,"[18, 10749]","[u'Drama', u'Romance']"
278154,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
345911,[53],[u'Thriller']
308531,"[28, 35]","[u'Action', u'Comedy']"
95610,[35],[u'Comedy']
173897,"[28, 53]","[u'Action', u'Thriller']"
136799,"[16, 28, 10751]","[u'Animation', u'Action', u'Family']"
329833,[35],[u'Comedy']
146198,[53],[u'Thriller']
316023,"[35, 10749]","[u'Comedy', u'Romance']"
267193,"[28, 35]","[u'Action', u'Comedy']"
313297,"[16, 28, 10751]","[u'Animation', u'Action', u'Family']"
245703,"[18, 28]","[u'Drama', u'Action']"
339397,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
376570,[53],[u'Thriller']
301365,[53],[u'Thriller']
356305,[35],[u'Comedy']
313922,[53],[u'Thriller']
379170,"[18, 53]","[u'Drama', u'Thriller']"
319888,"[18, 35]","[u'Drama', u'Comedy']"
311324,[28],[u'Action']
396535,"[28, 53]","[u'Action', u'Thriller']"
258230,"[18, 28]","[u'Drama', u'Action']"
300673,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
323675,"[28, 35]","[u'Action', u'Comedy']"
303991,"[18, 35]","[u'Drama', u'Comedy']"
271969,"[18, 28]","[u'Drama', u'Action']"
381341,"[18, 35]","[u'Drama', u'Comedy']"
376660,"[18, 35]","[u'Drama', u'Comedy']"
393457,[18],[u'Drama']
302156,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
325789,"[18, 53]","[u'Drama', u'Thriller']"
369557,"[18, 10749]","[u'Drama', u'Romance']"
335796,[53],[u'Thriller']
318121,"[18, 35]","[u'Drama', u'Comedy']"
376866,[18],[u'Drama']
309886,"[28, 53]","[u'Action', u'Thriller']"
351211,[53],[u'Thriller']
68730,[18],[u'Drama']
331313,"[28, 35]","[u'Action', u'Comedy']"
330483,"[18, 10749]","[u'Drama', u'Romance']"
389053,"[28, 35]","[u'Action', u'Comedy']"
323676,[35],[u'Comedy']
329440,[53],[u'Thriller']
318781,"[18, 10749]","[u'Drama', u'Romance']"
213681,"[28, 35, 53]","[u'Action', u'Comedy', u'Thriller']"
323677,"[18, 28]","[u'Drama', u'Action']"
324670,"[28, 53]","[u'Action', u'Thriller']"
342521,"[28, 35]","[u'Action', u'Comedy']"
295699,[35],[u'Comedy']
384682,[35],[u'Comedy']
316152,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
399106,"[16, 10751]","[u'Animation', u'Family']"
374416,[35],[u'Comedy']
337674,"[18, 53]","[u'Drama', u'Thriller']"
377264,"[28, 53]","[u'Action', u'Thriller']"
279641,"[18, 35]","[u'Drama', u'Comedy']"
315664,"[18, 35]","[u'Drama', u'Comedy']"
302688,[35],[u'Comedy']
353069,"[18, 35]","[u'Drama', u'Comedy']"
270010,"[18, 35]","[u'Drama', u'Comedy']"
388399,"[18, 53]","[u'Drama', u'Thriller']"
254302,[18],[u'Drama']
174751,"[18, 28]","[u'Drama', u'Action']"
397243,[53],[u'Thriller']
335778,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
374617,"[18, 53]","[u'Drama', u'Thriller']"
341012,"[18, 35]","[u'Drama', u'Comedy']"
338189,[18],[u'Drama']
283552,[18],[u'Drama']
310307,[18],[u'Drama']
410199,"[28, 53]","[u'Action', u'Thriller']"
381356,[35],[u'Comedy']
301804,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
351819,"[35, 10749]","[u'Comedy', u'Romance']"
168098,"[28, 53]","[u'Action', u'Thriller']"
333669,[28],[u'Action']
368031,[53],[u'Thriller']
375366,"[18, 53]","[u'Drama', u'Thriller']"
364116,[53],[u'Thriller']
259695,"[18, 53]","[u'Drama', u'Thriller']"
380124,"[35, 53]","[u'Comedy', u'Thriller']"
340402,"[18, 35]","[u'Drama', u'Comedy']"
186759,[35],[u'Comedy']
353326,[18],[u'Drama']
332872,"[18, 10749]","[u'Drama', u'Romance']"
374475,"[18, 35]","[u'Drama', u'Comedy']"
339419,"[18, 10749]","[u'Drama', u'Romance']"
382591,"[18, 35]","[u'Drama', u'Comedy']"
293670,[53],[u'Thriller']
369776,[35],[u'Comedy']
384798,"[28, 53]","[u'Action', u'Thriller']"
351339,"[18, 53]","[u'Drama', u'Thriller']"
353571,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
382399,"[18, 10749]","[u'Drama', u'Romance']"
382399,"[18, 10749]","[u'Drama', u'Romance']"
410718,[99],[u'Documentary']
340485,"[18, 10749]","[u'Drama', u'Romance']"
286567,[28],[u'Action']
374473,[18],[u'Drama']
369778,"[18, 35]","[u'Drama', u'Comedy']"
332411,"[18, 28, 53]","[u'Drama', u'Action', u'Thriller']"
339984,[18],[u'Drama']
370755,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
326423,[35],[u'Comedy']
366514,"[35, 10749]","[u'Comedy', u'Romance']"
234004,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
366924,"[16, 28]","[u'Animation', u'Action']"
340677,"[18, 53]","[u'Drama', u'Thriller']"
263341,"[18, 28]","[u'Drama', u'Action']"
347938,"[18, 53]","[u'Drama', u'Thriller']"
355008,[35],[u'Comedy']
339408,[18],[u'Drama']
301608,[53],[u'Thriller']
270774,"[28, 35]","[u'Action', u'Comedy']"
376290,"[18, 53]","[u'Drama', u'Thriller']"
257345,[53],[u'Thriller']
284564,[53],[u'Thriller']
379291,"[16, 28]","[u'Animation', u'Action']"
277839,[35],[u'Comedy']
296360,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
373314,"[18, 53]","[u'Drama', u'Thriller']"
329010,[53],[u'Thriller']
382511,[35],[u'Comedy']
205588,[53],[u'Thriller']
392142,"[18, 35]","[u'Drama', u'Comedy']"
383869,[35],[u'Comedy']
248705,[35],[u'Comedy']
334517,"[18, 53]","[u'Drama', u'Thriller']"
267192,[18],[u'Drama']
356298,"[18, 35]","[u'Drama', u'Comedy']"
331962,"[18, 53]","[u'Drama', u'Thriller']"
359412,"[28, 53]","[u'Action', u'Thriller']"
276905,"[16, 28, 35, 10751]","[u'Animation', u'Action', u'Comedy', u'Family']"
375804,[35],[u'Comedy']
374461,[18],[u'Drama']
329981,"[18, 53]","[u'Drama', u'Thriller']"
393729,[18],[u'Drama']
384371,[35],[u'Comedy']
368596,[18],[u'Drama']
411009,[99],[u'Documentary']
353979,[53],[u'Thriller']
375012,[53],[u'Thriller']
301348,"[18, 35]","[u'Drama', u'Comedy']"
312669,"[18, 35, 10749]","[u'Drama', u'Comedy', u'Romance']"
375572,[18],[u'Drama']
375798,[35],[u'Comedy']
